signal_date,ticker,name,hypothesis_id,use_type,decision_status,decision_note,event_direction,event_chg_pct,event_close,amount_tag,dart_tag,window_category,flow_category_confirmed,foreign_5d,institution_5d,individual_5d,planned_entry_rule,planned_hold_days,backtest_avg_score_pct,backtest_hit_rate,next_trading_day,next_open,next_close,d_plus_5_close,d_plus_10_close,d_plus_20_close,next_open_return_pct,next_close_return_pct,d_plus_5_return_pct,d_plus_10_return_pct,d_plus_20_return_pct,result_label,review_note,valuation_class,valuation_profit_trend,valuation_trap_check,valuation_memo
2026-04-29,042700,한미반도체,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-2.59,357500,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,989728,564332,-1558705,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-04-30,367000.0,368000.0,390000.0,369000.0,293000.0,2.66,2.94,9.09,3.22,-18.04,반등 실패,"D+1(2026-04-30) 시가 +2.66%, 종가 +2.94%; D+5 +9.09%; D+10 +3.22%; D+20 -18.04%",,,,
2026-04-29,034020,두산에너빌리티,H01,매수 후보,관찰대상,다음 거래일 분할 진입 검토,up,1.1,129200,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,787410,538347,-1361937,다음 거래일 과도한 갭 상승이 없고 장초반 급락이 아니면 분할 진입 검토. 갭 급등 시 추격 금지,20,25.39,84.62,2026-04-30,129800.0,127100.0,129600.0,110800.0,106900.0,0.46,-1.63,0.31,-14.24,-17.26,상승 실패,"D+1(2026-04-30) 시가 +0.46%, 종가 -1.63%; D+5 +0.31%; D+10 -14.24%; D+20 -17.26%",,,,
2026-04-30,005930,삼성전자,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-2.43,220500,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,2625469,4180415,-6747612,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-04,228000.0,232500.0,285500.0,281000.0,360500.0,3.4,5.44,29.48,27.44,63.49,반등 성공,"D+1(2026-05-04) 시가 +3.40%, 종가 +5.44%; D+5 +29.48%; D+10 +27.44%; D+20 +63.49%",,,,
2026-05-04,079550,LIG디펜스앤에어로스페이스,H01,매수 후보,관찰대상,다음 거래일 분할 진입 검토,up,4.46,983000,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,74523,1750,-77503,다음 거래일 과도한 갭 상승이 없고 장초반 급락이 아니면 분할 진입 검토. 갭 급등 시 추격 금지,20,25.39,84.62,2026-05-06,966000.0,979000.0,879000.0,862000.0,,-1.73,-0.41,-10.58,-12.31,,상승 실패,"D+1(2026-05-06) 시가 -1.73%, 종가 -0.41%; D+5 -10.58%; D+10 -12.31%",,,,
2026-05-11,178320,서진시스템,H01,매수 후보,관찰대상,다음 거래일 분할 진입 검토,up,2.12,67500,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,74981,86724,-110781,다음 거래일 과도한 갭 상승이 없고 장초반 급락이 아니면 분할 진입 검토. 갭 급등 시 추격 금지,20,25.39,84.62,2026-05-12,68500.0,69100.0,72800.0,78600.0,,1.48,2.37,7.85,16.44,,상승 지속,"D+1(2026-05-12) 시가 +1.48%, 종가 +2.37%; D+5 +7.85%; D+10 +16.44%",PER비교부적합,순이익감소,"순손실, 부채비율 부담","EPS적자, PER무효. 최근 순이익 방향은 순이익감소이며 분류는 PER비교부적합."
2026-05-12,006340,대원전선,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-6.92,16000,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,440421,142041,-594981,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-13,15500.0,14630.0,14080.0,13060.0,,-3.12,-8.56,-12.0,-18.37,,반등 실패,"D+1(2026-05-13) 시가 -3.12%, 종가 -8.56%; D+5 -12.00%; D+10 -18.37%",성장기대반영,순이익증가,특이 리스크 제한적,"EPS낮음, 초고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
2026-05-12,047040,대우건설,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-6.07,30150,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,57541,335399,-431726,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-13,28900.0,28950.0,27050.0,26750.0,,-4.15,-3.98,-10.28,-11.28,,반등 실패,"D+1(2026-05-13) 시가 -4.15%, 종가 -3.98%; D+5 -10.28%; D+10 -11.28%",PER비교부적합,순이익감소,"순손실, 부채비율 부담","EPS적자, PER무효. 최근 순이익 방향은 순이익감소이며 분류는 PER비교부적합."
2026-05-13,001440,대한전선,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-2.68,65400,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,3436611,318513,-3658782,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-14,66600.0,65500.0,52000.0,47800.0,,1.83,0.15,-20.49,-26.91,,반등 실패,"D+1(2026-05-14) 시가 +1.83%, 종가 +0.15%; D+5 -20.49%; D+10 -26.91%",성장기대반영,순이익증가,특이 리스크 제한적,"EPS낮음, 초고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
2026-05-14,018880,한온시스템,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-0.79,5000,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,507634,52289,-811602,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-15,5120.0,5050.0,4835.0,5630.0,,2.4,1.0,-3.3,12.6,,반등 성공,"D+1(2026-05-15) 시가 +2.40%, 종가 +1.00%; D+5 -3.30%; D+10 +12.60%",PER비교부적합,순이익감소,순손실,"EPS적자, PER무효. 최근 순이익 방향은 순이익감소이며 분류는 PER비교부적합."
2026-05-14,047040,대우건설,H01,매수 후보,관찰대상,다음 거래일 분할 진입 검토,up,12.61,32600,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,828549,924602,-1777956,다음 거래일 과도한 갭 상승이 없고 장초반 급락이 아니면 분할 진입 검토. 갭 급등 시 추격 금지,20,25.39,84.62,2026-05-15,33100.0,28500.0,28350.0,26200.0,,1.53,-12.58,-13.04,-19.63,,상승 실패,"D+1(2026-05-15) 시가 +1.53%, 종가 -12.58%; D+5 -13.04%; D+10 -19.63%",PER비교부적합,순이익감소,"순손실, 부채비율 부담","EPS적자, PER무효. 최근 순이익 방향은 순이익감소이며 분류는 PER비교부적합."
2026-05-15,000720,현대건설,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-8.45,155000,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,452115,10317,-473915,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-18,143800.0,144900.0,150300.0,138900.0,,-7.23,-6.52,-3.03,-10.39,,반등 실패,"D+1(2026-05-18) 시가 -7.23%, 종가 -6.52%; D+5 -3.03%; D+10 -10.39%",기대과열가능,순이익불안정,이익 변동성,"EPS보통, 초고PER. 최근 순이익 방향은 순이익불안정이며 분류는 기대과열가능."
2026-05-15,006910,보성파워텍,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-6.62,11430,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,369514,14595,-364573,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-18,11120.0,11230.0,11040.0,9300.0,,-2.71,-1.75,-3.41,-18.64,,반등 실패,"D+1(2026-05-18) 시가 -2.71%, 종가 -1.75%; D+5 -3.41%; D+10 -18.64%",성장기대반영,순이익증가,특이 리스크 제한적,"EPS낮음, 초고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
2026-05-15,038500,삼표시멘트,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-7.46,13650,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,157944,72183,-206772,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-18,13300.0,13400.0,13190.0,11990.0,,-2.56,-1.83,-3.37,-12.16,,반등 실패,"D+1(2026-05-18) 시가 -2.56%, 종가 -1.83%; D+5 -3.37%; D+10 -12.16%",,,,
2026-05-15,079550,LIG디펜스앤에어로스페이스,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-5.01,834000,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,19709,55027,-72676,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-18,852000.0,839000.0,925000.0,776000.0,,2.16,0.6,10.91,-6.95,,반등 실패,"D+1(2026-05-18) 시가 +2.16%, 종가 +0.60%; D+5 +10.91%; D+10 -6.95%",성장기대반영,순이익증가,부채비율 부담,"EPS높음, 초고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
2026-05-18,000720,현대건설,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-6.52,144900,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,258301,173410,-443884,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-19,142900.0,139300.0,152000.0,134200.0,,-1.38,-3.86,4.9,-7.38,,반등 실패,"D+1(2026-05-19) 시가 -1.38%, 종가 -3.86%; D+5 +4.90%; D+10 -7.38%",기대과열가능,순이익불안정,이익 변동성,"EPS보통, 초고PER, 고PBR, EV/EBITDA결측. 최근 순이익 방향은 순이익불안정이며 분류는 기대과열가능."
2026-05-18,012200,계양전기,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-2.66,8770,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,1067949,16905,-1058055,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-19,8800.0,8320.0,8280.0,6830.0,,0.34,-5.13,-5.59,-22.12,,반등 실패,"D+1(2026-05-19) 시가 +0.34%, 종가 -5.13%; D+5 -5.59%; D+10 -22.12%",PER비교부적합,순이익불안정,"부채비율 부담, 이익 변동성","EPS적자, PER무효, 초고PBR, EV/EBITDA결측. 최근 순이익 방향은 순이익불안정이며 분류는 PER비교부적합."
2026-05-18,018880,한온시스템,H02,반등 감시 후보,관찰대상,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,down,-2.77,4910,거래대금약함,DART공시동반,직접반응,외국인기관동반매수,2692791,248074,-2929024,다음 거래일 장초반 반등 확인 전에는 진입 보류. 전일 종가 회복 또는 장중 VWAP/시가 회복 확인 시 단기 진입 검토,20,34.49,83.33,2026-05-19,4850.0,4550.0,5240.0,5000.0,,-1.22,-7.33,6.72,1.83,,단기 반등,"D+1(2026-05-19) 시가 -1.22%, 종가 -7.33%; D+5 +6.72%; D+10 +1.83%",PER비교부적합,순이익감소,순손실,"EPS적자, PER무효, 보통PBR, EV/EBITDA결측. 최근 순이익 방향은 순이익감소이며 분류는 PER비교부적합."
